CaseID,ActivityString,Duration,TimeSinceLastEvent,Timestamp,PlannedDuration,PlannedTimestamp,InstanceID,StartTime,FinishedActivity
8,C,219,219,801,285,912,8,582,C
8,D,1170,1170,1971,5160,6072,8,801,D
8,M,1074,1074,3045,933,7005,8,1971,M
8,N,677,677,3722,180,7185,8,3045,N
8,O,695,695,4417,885,8070,8,3722,O
8,P,2830,2830,7247,6680,14750,8,4417,P
9,A,6013,6013,6013,6145,6145,9,0,A
9,B,385,385,6398,300,6445,9,6013,B
9,C,635,635,7033,810,7255,9,6398,C
9,D,672,672,7705,1560,8815,9,7033,D
9,M,336,336,8041,495,9310,9,7705,M
9,N,481,481,8522,300,9610,9,8041,N
9,O,625,625,9147,820,10430,9,8522,O
9,P,218,218,9365,3960,14390,9,9147,P
10,AE,96,96,96,748,748,10,0,A
10,BE,154,58,154,231,231,10,0,E
10,BF,187,187,341,150,381,10,154,F
10,BG,758,513,854,150,898,10,96,B
10,CG,643,130,984,620,1001,10,341,G
10,CH,152,22,1006,395,1293,10,854,C
10,DH,193,193,1199,3960,5253,10,1006,D
10,H,282,67,1266,4200,5201,10,984,H
10,M,1088,1088,2354,1580,6833,10,1266,M
10,N,685,685,3039,240,7073,10,2354,N
10,O,581,581,3620,905,7978,10,3039,O
10,P,223,223,3843,3960,11938,10,3620,P
11,A,1157,1157,1157,1415,1415,11,0,A
11,B,346,346,1503,150,1565,11,1157,B
11,C,179,179,1682,280,1845,11,1503,C
11,D,977,977,2659,5160,7005,11,1682,D
11,M,591,591,3250,730,7735,11,2659,M
11,N,257,257,3507,180,7915,11,3250,N
11,O,127,127,3634,145,8060,11,3507,O
11,P,20,20,3654,2880,10940,11,3634,P
12,AEI,112,112,112,898,898,12,0,A
12,BEI,216,104,216,227,227,12,0,I
12,BEJ,310,94,310,974,974,12,0,E
12,BFJ,102,8,318,150,377,12,216,J
12,BFK,187,187,505,455,832,12,318,K
12,BFL,965,572,1077,240,1138,12,112,B
12,CFL,845,78,1155,240,1214,12,310,F
12,CGL,186,108,1263,415,1553,12,1077,C
12,DGL,11,11,1274,6715,8268,12,1263,D
12,GL,157,38,1312,415,1629,12,1155,G
12,HL,47,47,1359,5160,6789,12,1312,H
12,L,869,15,1374,5005,5837,12,505,L
12,M,59,59,1433,238,8506,12,1374,M
12,N,254,254,1687,135,8641,12,1433,N
12,O,319,319,2006,280,8921,12,1687,O
12,P,140,140,2146,5160,14081,12,2006,P
13,AE,733,733,733,1499,1499,13,0,E
13,AF,1059,1059,1792,300,1799,13,733,F
13,AG,759,759,2551,970,2769,13,1792,G
13,AH,3004,453,3004,3140,3140,13,0,A
13,BH,324,324,3328,240,3380,13,3004,B
13,CH,1320,543,3871,3960,6729,13,2551,H
13,C,808,265,4136,995,4375,13,3328,C
13,D,200,200,4336,3960,8335,13,4136,D
13,M,40,40,4376,395,8730,13,4336,M
13,N,475,475,4851,165,8895,13,4376,N
13,O,1058,1058,5909,1275,10170,13,4851,O
13,P,934,934,6843,3960,14130,13,5909,P
14,AEI,136,136,136,142,142,14,0,A
14,BEI,182,182,318,240,382,14,136,B
14,CEI,538,220,538,447,447,14,0,I
14,CEJ,36,36,574,180,627,14,538,J
14,CEK,1093,837,1411,1085,1467,14,318,C
14,DEK,987,150,1561,935,1562,14,574,K
14,DEL,289,139,1700,550,2017,14,1411,D
14,EL,1814,114,1814,2331,2331,14,0,E
14,FL,693,440,2254,385,1947,14,1561,L
14,F,653,213,2467,180,2511,14,1814,F
14,G,917,917,3384,890,3401,14,2467,G
14,H,1528,1528,4912,550,3951,14,3384,H
14,M,133,133,5045,405,4356,14,4912,M
14,N,406,406,5451,180,4536,14,5045,N
14,O,749,749,6200,840,5376,14,5451,O
14,P,164,164,6364,6680,12056,14,6200,P
15,A,413,413,413,1081,1081,15,0,A
15,B,859,859,1272,180,1261,15,413,B
15,C,928,928,2200,1575,2836,15,1272,C
15,B,1531,1531,3731,1014,3850,15,2200,B
15,C,1282,1282,5013,961,4811,15,3731,C
15,D,687,687,5700,9720,14531,15,5013,D
15,M,36949,36949,42649,37994,52525,15,5700,M
15,N,1075,1075,43724,90,52615,15,42649,N
15,O,983,983,44707,1210,53825,15,43724,O
15,P,11,11,44718,3780,57605,15,44707,P
16,AE,254,254,254,778,778,16,0,A
16,BE,792,538,792,1191,1191,16,0,E
16,BF,894,356,1148,420,1198,16,254,B
16,CF,792,436,1584,420,1611,16,792,F
16,CG,1353,1353,2937,1411,3022,16,1584,G
16,CH,2375,586,3523,1410,2608,16,1148,C
16,DH,580,580,4103,320,2928,16,3523,D
16,H,2110,944,5047,604,3626,16,2937,H
16,M,2589,2589,7636,2931,6557,16,5047,M
16,N,532,532,8168,240,6797,16,7636,N
16,O,720,720,8888,920,7717,16,8168,O
16,P,108,108,8996,3960,11677,16,8888,P
17,AE,1315,1315,1315,3366,3366,17,0,E
17,AF,2099,2099,3414,90,3456,17,1315,F
17,AG,840,840,4254,1250,4706,17,3414,G
17,AH,427,427,4681,3780,8486,17,4254,H
17,A,26485,21804,26485,27415,27415,17,0,A
17,B,963,963,27448,90,27505,17,26485,B
17,C,1027,1027,28475,1220,28725,17,27448,C
17,D,5,5,28480,3780,32505,17,28475,D
17,M,390,390,28870,927,33432,17,28480,M
17,N,565,565,29435,90,33522,17,28870,N
17,O,1527,1527,30962,2320,35842,17,29435,O
17,P,1681,1681,32643,3420,39262,17,30962,P
18,A,140,140,140,671,671,18,0,A
18,B,713,713,853,240,911,18,140,B
18,C,381,381,1234,280,1191,18,853,C
18,D,2959,2959,4193,5160,6351,18,1234,D
18,M,1730,1730,5923,3180,9531,18,4193,M
18,N,1590,1590,7513,90,9621,18,5923,N
18,O,733,733,8246,1240,10861,18,7513,O
18,N,409,409,8655,5,10866,18,8246,N
18,O,635,635,9290,935,11801,18,8655,O
18,P,1115,1115,10405,3780,15581,18,9290,P
19,AE,488,488,488,518,518,19,0,E
19,AF,140,140,628,170,688,19,488,F
19,AG,543,543,1171,465,1153,19,628,G
19,AF,1150,1150,2321,1210,2363,19,1171,F
19,AG,808,808,3129,920,3283,19,2321,G
19,AH,1037,1037,4166,1175,4458,19,3129,H
19,A,4568,402,4568,5442,5442,19,0,A
19,B,934,934,5502,120,5562,19,4568,B
19,C,260,260,5762,420,5982,19,5502,C
19,B,655,655,6417,495,6477,19,5762,B
19,C,688,688,7105,810,7287,19,6417,C
19,D,3013,3013,10118,5040,12327,19,7105,D
19,M,1283,1283,11401,1317,13644,19,10118,M
19,N,629,629,12030,360,14004,19,11401,N
19,O,784,784,12814,700,14704,19,12030,O
19,P,492,492,13306,550,15254,19,12814,P
20,AE,53,53,53,302,302,20,0,E
20,AF,167,114,167,327,327,20,0,A
20,BF,268,154,321,90,392,20,53,F
20,BG,278,124,445,90,417,20,167,B
20,CG,562,438,883,1010,1402,20,321,G
20,CH,584,146,1029,1010,1427,20,445,C
20,DH,260,114,1143,3780,5182,20,883,H
20,D,358,244,1387,3780,5207,20,1029,D
20,M,52,52,1439,606,5813,20,1387,M
20,N,763,763,2202,240,6053,20,1439,N
20,O,542,542,2744,810,6863,20,2202,O
20,P,7005,7005,9749,3960,10823,20,2744,P
21,A,116,116,116,249,249,21,0,A
21,B,223,223,339,150,399,21,116,B
21,C,155,155,494,385,784,21,339,C
21,D,3518,3518,4012,3160,3944,21,494,D
21,M,16,16,4028,82,4026,21,4012,M
21,N,138,138,4166,135,4161,21,4028,N
21,O,157,157,4323,285,4446,21,4166,O
21,P,432,432,4755,5160,9606,21,4323,P
22,AEI,34,34,34,47,47,22,0,E
22,AFI,100,100,134,150,197,22,34,F
22,AGI,234,100,234,2127,2127,22,0,A
22,BGI,189,89,323,455,652,22,134,G
22,BHI,410,87,410,1252,1252,22,0,I
22,BHJ,873,786,1196,5005,5657,22,323,H
22,BJ,932,146,1342,150,1402,22,410,J
22,BK,72,72,1414,350,1752,22,1342,K
22,BL,236,236,1650,2880,4632,22,1414,L
22,B,2158,742,2392,300,2427,22,234,B
22,C,783,783,3175,705,3132,22,2392,C
22,D,1459,1459,4634,5400,8532,22,3175,D
22,M,34,34,4668,139,8671,22,4634,M
22,N,292,292,4960,240,8911,22,4668,N
22,O,867,867,5827,945,9856,22,4960,O
22,P,2060,2060,7887,5160,15016,22,5827,P
23,AE,172,172,172,287,287,23,0,A
23,BE,179,179,351,150,437,23,172,B
23,CE,426,75,426,813,813,23,0,E
23,CF,659,659,1085,330,1143,23,426,F
23,CG,828,94,1179,870,1307,23,351,C
23,BG,787,693,1872,5001,6144,23,1085,G
23,BH,983,290,2162,905,2212,23,1179,B
23,CH,834,834,2996,4941,7153,23,2162,C
23,DH,2207,1083,4079,2854,8998,23,1872,H
23,D,3341,2258,6337,2735,9888,23,2996,D
23,M,4312,4312,10649,4583,14471,23,6337,M
23,N,1057,1057,11706,780,15251,23,10649,N
23,O,832,832,12538,1205,16456,23,11706,O
23,N,1623,1623,14161,1360,17816,23,12538,N
23,O,808,808,14969,1075,18891,23,14161,O
23,P,4090,4090,19059,1075,19966,23,14969,P
24,AEI,98,98,98,295,295,24,0,A
24,BEI,389,291,389,921,921,24,0,E
24,BFI,382,91,480,240,535,24,98,B
24,CFI,143,143,623,270,805,24,480,C
24,DFI,657,34,657,3954,3954,24,0,I
24,DFJ,814,546,1203,300,1221,24,389,F
24,DGJ,2015,1435,2638,5070,5875,24,623,D
24,GJ,1544,109,2747,910,2131,24,1203,G
24,FJ,2422,332,3079,210,4164,24,657,J
24,FK,947,947,4026,330,4494,24,3079,K
24,FJ,2210,931,4957,2855,4986,24,2747,F
24,GJ,805,805,5762,960,5946,24,4957,G
24,HJ,1868,132,5894,1460,5954,24,4026,J
24,HK,949,949,6843,810,6764,24,5894,K
24,HL,1629,548,7391,3960,9906,24,5762,H
24,L,1569,1021,8412,3810,10574,24,6843,L
24,M,343,343,8755,989,11563,24,8412,M
24,N,830,830,9585,240,11803,24,8755,N
24,O,134,134,9719,270,12073,24,9585,O
24,N,515,515,10234,380,12453,24,9719,N
24,O,156,156,10390,260,12713,24,10234,O
24,P,1966,1966,12356,5100,17813,24,10390,P
25,AEI,72,72,72,692,692,25,0,A
25,BEI,87,15,87,59,59,25,0,E
25,BFI,171,171,258,240,299,25,87,F
25,BGI,820,562,820,3204,3204,25,0,I
25,BGJ,851,103,923,270,962,25,72,B
25,CGJ,864,199,1122,970,1269,25,258,G
25,CHJ,122,122,1244,3960,5229,25,1122,H
25,CJ,1062,741,1985,930,1892,25,923,C
25,DJ,2586,1421,3406,240,3444,25,820,J
25,DK,705,705,4111,815,4259,25,3406,K
25,DL,213,213,4324,9700,13959,25,4111,L
25,D,3613,1274,5598,435,2327,25,1985,D
25,M,380,380,5978,1233,15192,25,5598,M
25,N,944,944,6922,150,15342,25,5978,N
25,O,821,821,7743,1030,16372,25,6922,O
25,N,1167,1167,8910,925,17297,25,7743,N
25,O,631,631,9541,705,18002,25,8910,O
25,P,5859,5859,15400,4230,22232,25,9541,P
26,A,494,494,494,1211,1211,26,0,A
26,B,772,772,1266,90,1301,26,494,B
26,C,897,897,2163,1250,2551,26,1266,C
26,D,4,4,2167,3780,6331,26,2163,D
26,M,525,525,2692,860,7191,26,2167,M
26,N,368,368,3060,90,7281,26,2692,N
26,O,1424,1424,4484,1935,9216,26,3060,O
26,P,1287,1287,5771,3780,12996,26,4484,P
27,A,51,51,51,115,115,27,0,A
27,B,227,227,278,240,355,27,51,B
27,C,731,731,1009,975,1330,27,278,C
27,D,7,7,1016,6465,7795,27,1009,D
27,M,78,78,1094,814,8609,27,1016,M
27,N,812,812,1906,135,8744,27,1094,N
27,O,290,290,2196,300,9044,27,1906,O
27,P,24,24,2220,5100,14144,27,2196,P
28,AE,48,48,48,123,123,28,0,A
28,BE,534,486,534,1064,1064,28,0,E
28,BF,596,110,644,420,543,28,48,B
28,CF,563,453,1097,90,1154,28,534,F
28,CG,495,495,1592,860,2014,28,1097,G
28,CH,1048,100,1692,1240,1783,28,644,C
28,DH,365,365,2057,360,2143,28,1692,D
28,H,1284,819,2876,3780,5794,28,1592,H
28,M,2591,2591,5467,2741,8535,28,2876,M
28,N,265,265,5732,150,8685,28,5467,N
28,O,761,761,6493,1000,9685,28,5732,O
28,N,862,862,7355,640,10325,28,6493,N
28,O,183,183,7538,95,10420,28,7355,O
28,P,2649,2649,10187,4230,14650,28,7538,P
29,A,9,9,9,342,342,29,0,A
29,B,583,583,592,300,642,29,9,B
29,C,322,322,914,510,1152,29,592,C
29,B,784,784,1698,660,1812,29,914,B
29,C,1805,1805,3503,1155,2967,29,1698,C
29,B,193,193,3696,845,3812,29,3503,B
29,C,939,939,4635,1500,5312,29,3696,C
29,D,444,444,5079,3960,9272,29,4635,D
29,M,36,36,5115,1045,10317,29,5079,M
29,N,1195,1195,6310,240,10557,29,5115,N
29,O,884,884,7194,995,11552,29,6310,O
29,P,2,2,7196,4680,16232,29,7194,P
30,AEI,24,24,24,56,56,30,0,E
30,AFI,241,241,265,240,296,30,24,F
30,AGI,516,516,781,785,1081,30,265,G
30,AHI,892,111,892,1024,1024,30,0,A
30,BHI,159,48,940,3960,5041,30,781,H
30,BI,559,511,1451,420,1444,30,892,B
30,CI,726,726,2177,845,2289,30,1451,C
30,DI,2341,2341,4518,3960,6249,30,2177,D
30,I,15981,11463,15981,16266,16266,30,0,I
30,J,512,512,16493,240,16506,30,15981,J
30,K,521,521,17014,780,17286,30,16493,K
30,L,3513,3513,20527,3960,21246,30,17014,L
30,M,1244,1244,21771,1545,22791,30,20527,M
30,N,411,411,22182,150,22941,30,21771,N
30,O,606,606,22788,725,23666,30,22182,O
30,N,192,192,22980,95,23761,30,22788,N
30,O,242,242,23222,210,23971,30,22980,O
30,P,2184,2184,25406,4170,28141,30,23222,P
31,AE,10,10,10,139,139,31,0,A
31,BE,87,77,87,216,216,31,0,E
31,BF,305,228,315,240,379,31,10,B
31,CF,310,82,397,240,456,31,87,F
31,CG,818,736,1133,975,1354,31,315,C
31,DG,741,5,1138,985,1441,31,397,G
31,DH,7,7,1145,6465,7906,31,1138,H
31,D,786,774,1919,5040,6394,31,1133,D
31,M,31,31,1950,114,8020,31,1919,M
31,N,260,260,2210,240,8260,31,1950,N
31,O,342,342,2552,465,8725,31,2210,O
31,P,33561,33561,36113,5760,14485,31,2552,P
32,AE,283,283,283,509,509,32,0,A
32,BE,429,429,712,240,749,32,283,B
32,CE,369,369,1081,1305,2054,32,712,C
32,DE,588,588,1669,9040,11094,32,1081,D
32,E,1674,5,1674,1768,1768,32,0,E
32,F,209,209,1883,150,1918,32,1674,F
32,G,634,634,2517,585,2503,32,1883,G
32,F,1538,1538,4055,1530,4033,32,2517,F
32,G,1248,1248,5303,570,4603,32,4055,G
32,H,73,73,5376,4230,8833,32,5303,H
32,M,16424,16424,21800,16955,28049,32,5376,M
32,N,556,556,22356,90,28139,32,21800,N
32,O,605,605,22961,820,28959,32,22356,O
32,N,958,958,23919,725,29684,32,22961,N
32,O,229,229,24148,695,30379,32,23919,O
32,P,4388,4388,28536,3780,34159,32,24148,P
33,AEI,83,83,83,141,141,33,0,I
33,AEJ,93,10,93,136,136,33,0,A
33,BEJ,166,166,259,135,271,33,93,B
33,BEJ,176,0,259,150,291,33,83,J
33,CEK,122,122,381,110,401,33,259,K
33,CEL,201,79,460,295,566,33,259,C
33,DEL,151,72,532,4230,4631,33,381,L
33,DE,111,39,571,5160,5726,33,460,D
33,E,950,379,950,1082,1082,33,0,E
33,F,321,321,1271,240,1322,33,950,F
33,G,758,758,2029,915,2237,33,1271,G
33,F,399,399,2428,165,2402,33,2029,F
33,G,1276,1276,3704,1260,3662,33,2428,G
33,H,341,341,4045,3960,7622,33,3704,H
33,M,256,256,4301,1438,9060,33,4045,M
33,N,1209,1209,5510,90,9150,33,4301,N
33,O,911,911,6421,1240,10390,33,5510,O
33,N,461,461,6882,125,10515,33,6421,N
33,O,399,399,7281,800,11315,33,6882,O
33,P,3070,3070,10351,3780,15095,33,7281,P
34,A,3529,3529,3529,3858,3858,34,0,A
34,B,702,702,4231,90,3948,34,3529,B
34,C,524,524,4755,815,4763,34,4231,C
34,B,3647,3647,8402,3695,8458,34,4755,B
34,C,1346,1346,9748,1840,10298,34,8402,C
34,D,1121,1121,10869,3780,14078,34,9748,D
34,M,355,355,11224,1290,15368,34,10869,M
34,N,1310,1310,12534,300,15668,34,11224,N
34,O,672,672,13206,805,16473,34,12534,O
34,P,1257,1257,14463,2940,19413,34,13206,P
35,AE,190,190,190,241,241,35,0,A
35,BE,135,135,325,135,376,35,190,B
35,CE,405,80,405,1220,1220,35,0,E
35,CF,166,86,491,285,661,35,325,C
35,DF,337,337,828,5160,5821,35,491,D
35,F,941,518,1346,155,1375,35,405,F
35,G,276,276,1622,250,1625,35,1346,G
35,H,591,591,2213,2880,4505,35,1622,H
35,M,6225,6225,8438,7282,13103,35,2213,M
35,N,1083,1083,9521,90,13193,35,8438,N
35,O,850,850,10371,1250,14443,35,9521,O
35,P,1310,1310,11681,3780,18223,35,10371,P
36,A,5505,5505,5505,5877,5877,36,0,A
36,B,584,584,6089,240,6117,36,5505,B
36,C,157,157,6246,920,7037,36,6089,C
36,D,859,859,7105,3960,10997,36,6246,D
36,M,929,929,8034,1315,12312,36,7105,M
36,N,590,590,8624,240,12552,36,8034,N
36,O,502,502,9126,845,13397,36,8624,O
36,P,636,636,9762,3960,17357,36,9126,P
37,AEI,569,569,569,1329,1329,37,0,I
37,AEJ,1150,1150,1719,420,1749,37,569,J
37,AEK,2080,361,2080,2713,2713,37,0,A
37,BEK,950,589,2669,1160,2909,37,1719,K
37,BEL,697,108,2777,90,2803,37,2080,B
37,CEL,625,625,3402,1100,3903,37,2777,C
37,DEL,3975,573,3975,4843,4843,37,0,E
37,DFL,1314,8,3983,635,3544,37,2669,L
37,DF,928,920,4903,90,4933,37,3975,F
37,DG,493,493,5396,905,5838,37,4903,G
37,DH,3734,1740,7136,3780,7683,37,3402,D
37,H,19652,17912,25048,3780,9618,37,5396,H
37,M,163,163,25211,1048,10666,37,25048,M
37,N,1005,1005,26216,180,10846,37,25211,N
37,O,981,981,27197,1050,11896,37,26216,O
37,N,668,668,27865,600,12496,37,27197,N
37,O,192,192,28057,260,12756,37,27865,O
37,P,1421,1421,29478,5160,17916,37,28057,P
38,AEI,29,29,29,898,898,38,0,A
38,BEI,515,486,515,490,490,38,0,I
38,BEJ,219,219,734,300,790,38,515,J
38,BEK,1049,344,1078,240,1138,38,29,B
38,CEK,1161,83,1161,1213,1213,38,0,E
38,CFK,352,352,1513,360,1573,38,1161,F
38,CGK,946,167,1680,1115,1905,38,734,K
38,CGJ,773,171,1851,950,2088,38,1078,C
38,BGJ,716,378,2229,875,2448,38,1513,G
38,BFJ,1042,1042,3271,999,3447,38,2229,F
38,BGJ,1485,65,3336,1365,3453,38,1851,B
38,CGJ,2438,782,4118,2389,4294,38,1680,J
38,CGK,937,90,4208,928,4375,38,3271,G
38,CHK,894,22,4230,927,4380,38,3336,C
38,DHK,529,529,4759,393,4773,38,4230,D
38,HK,937,296,5055,928,5222,38,4118,K
38,HL,1137,290,5345,1143,5518,38,4208,H
38,L,1125,835,6180,1143,6365,38,5055,L
38,M,4545,4545,10725,4654,11019,38,6180,M
38,N,199,199,10924,180,11199,38,10725,N
38,O,551,551,11475,555,11754,38,10924,O
38,N,240,240,11715,205,11959,38,11475,N
38,O,779,779,12494,775,12734,38,11715,O
38,P,1125,1125,13619,2820,15554,38,12494,P
39,AEI,77,77,77,385,385,39,0,I
39,AEJ,639,639,716,300,685,39,77,J
39,AEK,710,710,1426,805,1490,39,716,K
39,AEL,44,44,1470,1560,3050,39,1426,L
39,AE,2084,614,2084,3190,3190,39,0,E
39,AF,1377,1377,3461,300,3490,39,2084,F
39,AG,659,659,4120,840,4330,39,3461,G
39,AH,315,315,4435,1560,5890,39,4120,H
39,A,14484,10049,14484,14854,14854,39,0,A
39,B,688,688,15172,300,15154,39,14484,B
39,C,719,719,15891,735,15889,39,15172,C
39,D,53,53,15944,1560,17449,39,15891,D
39,M,2875,2875,18819,2920,20369,39,15944,M
39,N,303,303,19122,300,20669,39,18819,N
39,O,727,727,19849,855,21524,39,19122,O
39,N,316,316,20165,185,21709,39,19849,N
39,O,93,93,20258,300,22009,39,20165,O
39,P,1591,1591,21849,2100,24109,39,20258,P
40,A,1147,1147,1147,1476,1476,40,0,A
40,B,525,525,1672,240,1716,40,1147,B
40,C,596,596,2268,740,2456,40,1672,C
40,D,1425,1425,3693,5590,8046,40,2268,D
40,M,104,104,3797,390,8436,40,3693,M
40,N,444,444,4241,180,8616,40,3797,N
40,O,162,162,4403,225,8841,40,4241,O
40,N,441,441,4844,675,9516,40,4403,N
40,O,345,345,5189,390,9906,40,4844,O
40,P,6015,6015,11204,3960,13866,40,5189,P
41,A,73,73,73,112,112,41,0,A
41,B,99,99,172,120,232,41,73,B
41,C,1610,1610,1782,980,1212,41,172,C
41,D,714,714,2496,5440,6652,41,1782,D
41,M,103,103,2599,132,6784,41,2496,M
41,N,107,107,2706,135,6919,41,2599,N
41,O,193,193,2899,295,7214,41,2706,O
41,P,68,68,2967,5100,12314,41,2899,P
42,AEI,41,41,41,781,781,42,0,A
42,BEI,197,156,197,139,139,42,0,E
42,BFI,62,62,259,180,319,42,197,F
42,BGI,865,647,906,150,931,42,41,B
42,CGI,172,172,1078,125,1056,42,906,C
42,BGI,1230,152,1230,1320,1320,42,0,I
42,BGJ,347,347,1577,300,1620,42,1230,J
42,BGK,1497,179,1756,980,1299,42,259,G
42,BFK,655,476,2232,750,2370,42,1577,K
42,BFL,979,503,2735,1485,2784,42,1756,F
42,BGL,1786,129,2864,1845,2901,42,1078,B
42,CGL,670,541,3405,685,3469,42,2735,G
42,CHL,592,51,3456,675,3576,42,2864,C
42,DHL,1633,409,3865,1560,3930,42,2232,L
42,DH,1202,742,4607,5760,9229,42,3405,H
42,D,3985,2834,7441,4200,7776,42,3456,D
42,M,14618,14618,22059,14735,23964,42,7441,M
42,N,396,396,22455,300,24264,42,22059,N
42,O,536,536,22991,740,25004,42,22455,O
42,P,115,115,23106,1560,26564,42,22991,P
43,AEI,90,90,90,826,826,43,0,E
43,AFI,922,922,1012,240,1066,43,90,F
43,AGI,795,795,1807,1015,2081,43,1012,G
43,AHI,1025,1025,2832,3960,6041,43,1807,H
43,AI,3064,232,3064,3355,3355,43,0,I
43,AJ,495,495,3559,240,3595,43,3064,J
43,AK,693,693,4252,920,4515,43,3559,K
43,AL,311,311,4563,3960,8475,43,4252,L
43,A,21475,16912,21475,22224,22224,43,0,A
43,B,1785,1785,23260,90,22314,43,21475,B
43,C,871,871,24131,1120,23434,43,23260,C
43,D,354,354,24485,3780,27214,43,24131,D
43,M,1028,1028,25513,2974,30188,43,24485,M
43,N,1968,1968,27481,90,30278,43,25513,N
