CaseID,ActivityID,Duration,TimeSinceLastEvent,Timestamp,PlannedDuration,PlannedTimestamp,InstanceID
13,2,324,324,3328,240,3380,13
13,3,808,808,4136,995,4375,13
13,4,200,200,4336,3960,8335,13
13,13,40,40,4376,395,8730,13
13,14,475,475,4851,165,8895,13
13,15,1058,1058,5909,1275,10170,13
13,16,934,934,6843,3960,14130,13
14,1,136,136,136,142,142,14
14,2,182,182,318,240,382,14
14,3,1093,1093,1411,1085,1467,14
14,4,289,289,1700,550,2017,14
14,13,133,133,1833,405,2422,14
14,14,406,406,2239,180,2602,14
14,15,749,749,2988,840,3442,14
14,16,164,164,3152,6680,10122,14
15,1,413,413,413,1081,1081,15
15,2,859,859,1272,180,1261,15
15,3,928,928,2200,1575,2836,15
15,2,1531,1531,3731,1014,3850,15
15,3,1282,1282,5013,961,4811,15
15,4,687,687,5700,9720,14531,15
15,13,36949,36949,42649,37994,52525,15
15,14,1075,1075,43724,90,52615,15
15,15,983,983,44707,1210,53825,15
15,16,11,11,44718,3780,57605,15
16,1,254,254,254,778,778,16
16,2,894,894,1148,420,1198,16
16,3,2375,2375,3523,1410,2608,16
16,4,580,580,4103,320,2928,16
16,13,2589,2589,6692,2931,5859,16
16,14,532,532,7224,240,6099,16
16,15,720,720,7944,920,7019,16
16,16,108,108,8052,3960,10979,16
17,1,26485,26485,26485,27415,27415,17
17,2,963,963,27448,90,27505,17
17,3,1027,1027,28475,1220,28725,17
17,4,5,5,28480,3780,32505,17
17,13,390,390,28870,927,33432,17
17,14,565,565,29435,90,33522,17
17,15,1527,1527,30962,2320,35842,17
17,16,1681,1681,32643,3420,39262,17
18,1,140,140,140,671,671,18
18,2,713,713,853,240,911,18
18,3,381,381,1234,280,1191,18
18,4,2959,2959,4193,5160,6351,18
18,13,1730,1730,5923,3180,9531,18
18,14,1590,1590,7513,90,9621,18
18,15,733,733,8246,1240,10861,18
18,14,409,409,8655,5,10866,18
18,15,635,635,9290,935,11801,18
18,16,1115,1115,10405,3780,15581,18
19,1,4568,4568,4568,5442,5442,19
19,2,934,934,5502,120,5562,19
19,3,260,260,5762,420,5982,19
19,2,655,655,6417,495,6477,19
19,3,688,688,7105,810,7287,19
19,4,3013,3013,10118,5040,12327,19
19,13,1283,1283,11401,1317,13644,19
19,14,629,629,12030,360,14004,19
19,15,784,784,12814,700,14704,19
19,16,492,492,13306,550,15254,19
20,1,167,167,167,327,327,20
20,2,278,278,445,90,417,20
20,3,584,584,1029,1010,1427,20
20,4,358,358,1387,3780,5207,20
20,13,52,52,1439,606,5813,20
20,14,763,763,2202,240,6053,20
20,15,542,542,2744,810,6863,20
20,16,7005,7005,9749,3960,10823,20
21,1,116,116,116,249,249,21
21,2,223,223,339,150,399,21
21,3,155,155,494,385,784,21
21,4,3518,3518,4012,3160,3944,21
21,13,16,16,4028,82,4026,21
21,14,138,138,4166,135,4161,21
21,15,157,157,4323,285,4446,21
21,16,432,432,4755,5160,9606,21
22,1,234,234,234,2127,2127,22
22,2,2158,2158,2392,300,2427,22
22,3,783,783,3175,705,3132,22
22,4,1459,1459,4634,5400,8532,22
22,13,34,34,4668,139,8671,22
22,14,292,292,4960,240,8911,22
22,15,867,867,5827,945,9856,22
22,16,2060,2060,7887,5160,15016,22
23,1,172,172,172,287,287,23
23,2,179,179,351,150,437,23
23,3,828,828,1179,870,1307,23
23,2,983,983,2162,905,2212,23
23,3,834,834,2996,4941,7153,23
23,4,3341,3341,6337,2735,9888,23
23,13,4312,4312,10649,4583,14471,23
23,14,1057,1057,11706,780,15251,23
23,15,832,832,12538,1205,16456,23
23,14,1623,1623,14161,1360,17816,23
23,15,808,808,14969,1075,18891,23
23,16,4090,4090,19059,1075,19966,23
24,1,98,98,98,295,295,24
24,2,382,382,480,240,535,24
24,3,143,143,623,270,805,24
24,4,2015,2015,2638,5070,5875,24
24,13,343,343,2981,989,6864,24
24,14,830,830,3811,240,7104,24
24,15,134,134,3945,270,7374,24
24,14,515,515,4460,380,7754,24
24,15,156,156,4616,260,8014,24
24,16,1966,1966,6582,5100,13114,24
25,1,72,72,72,692,692,25
25,2,851,851,923,270,962,25
25,3,1062,1062,1985,930,1892,25
25,4,3613,3613,5598,435,2327,25
25,13,380,380,5978,1233,3560,25
25,14,944,944,6922,150,3710,25
25,15,821,821,7743,1030,4740,25
25,14,1167,1167,8910,925,5665,25
25,15,631,631,9541,705,6370,25
25,16,5859,5859,15400,4230,10600,25
26,1,494,494,494,1211,1211,26
26,2,772,772,1266,90,1301,26
26,3,897,897,2163,1250,2551,26
26,4,4,4,2167,3780,6331,26
26,13,525,525,2692,860,7191,26
26,14,368,368,3060,90,7281,26
26,15,1424,1424,4484,1935,9216,26
26,16,1287,1287,5771,3780,12996,26
27,1,51,51,51,115,115,27
27,2,227,227,278,240,355,27
27,3,731,731,1009,975,1330,27
27,4,7,7,1016,6465,7795,27
27,13,78,78,1094,814,8609,27
27,14,812,812,1906,135,8744,27
27,15,290,290,2196,300,9044,27
27,16,24,24,2220,5100,14144,27
28,1,48,48,48,123,123,28
28,2,596,596,644,420,543,28
28,3,1048,1048,1692,1240,1783,28
28,4,365,365,2057,360,2143,28
28,13,2591,2591,4648,2741,4884,28
28,14,265,265,4913,150,5034,28
28,15,761,761,5674,1000,6034,28
28,14,862,862,6536,640,6674,28
28,15,183,183,6719,95,6769,28
28,16,2649,2649,9368,4230,10999,28
29,1,9,9,9,342,342,29
29,2,583,583,592,300,642,29
29,3,322,322,914,510,1152,29
29,2,784,784,1698,660,1812,29
29,3,1805,1805,3503,1155,2967,29
29,2,193,193,3696,845,3812,29
29,3,939,939,4635,1500,5312,29
29,4,444,444,5079,3960,9272,29
29,13,36,36,5115,1045,10317,29
29,14,1195,1195,6310,240,10557,29
29,15,884,884,7194,995,11552,29
29,16,2,2,7196,4680,16232,29
30,1,892,892,892,1024,1024,30
30,2,559,559,1451,420,1444,30
30,3,726,726,2177,845,2289,30
30,4,2341,2341,4518,3960,6249,30
30,13,1244,1244,5762,1545,7794,30
30,14,411,411,6173,150,7944,30
30,15,606,606,6779,725,8669,30
30,14,192,192,6971,95,8764,30
30,15,242,242,7213,210,8974,30
30,16,2184,2184,9397,4170,13144,30
31,1,10,10,10,139,139,31
31,2,305,305,315,240,379,31
31,3,818,818,1133,975,1354,31
31,4,786,786,1919,5040,6394,31
31,13,31,31,1950,114,6508,31
31,14,260,260,2210,240,6748,31
31,15,342,342,2552,465,7213,31
31,16,33561,33561,36113,5760,12973,31
32,1,283,283,283,509,509,32
32,2,429,429,712,240,749,32
32,3,369,369,1081,1305,2054,32
32,4,588,588,1669,9040,11094,32
32,13,16424,16424,18093,16955,28049,32
32,14,556,556,18649,90,28139,32
32,15,605,605,19254,820,28959,32
32,14,958,958,20212,725,29684,32
32,15,229,229,20441,695,30379,32
32,16,4388,4388,24829,3780,34159,32
33,1,93,93,93,136,136,33
33,2,166,166,259,135,271,33
33,3,201,201,460,295,566,33
33,4,111,111,571,5160,5726,33
33,13,256,256,827,1438,7164,33
33,14,1209,1209,2036,90,7254,33
33,15,911,911,2947,1240,8494,33
33,14,461,461,3408,125,8619,33
33,15,399,399,3807,800,9419,33
33,16,3070,3070,6877,3780,13199,33
34,1,3529,3529,3529,3858,3858,34
34,2,702,702,4231,90,3948,34
34,3,524,524,4755,815,4763,34
34,2,3647,3647,8402,3695,8458,34
34,3,1346,1346,9748,1840,10298,34
34,4,1121,1121,10869,3780,14078,34
34,13,355,355,11224,1290,15368,34
34,14,1310,1310,12534,300,15668,34
34,15,672,672,13206,805,16473,34
34,16,1257,1257,14463,2940,19413,34
35,1,190,190,190,241,241,35
35,2,135,135,325,135,376,35
35,3,166,166,491,285,661,35
35,4,337,337,828,5160,5821,35
35,13,6225,6225,7053,7282,13103,35
35,14,1083,1083,8136,90,13193,35
35,15,850,850,8986,1250,14443,35
35,16,1310,1310,10296,3780,18223,35
36,1,5505,5505,5505,5877,5877,36
36,2,584,584,6089,240,6117,36
36,3,157,157,6246,920,7037,36
36,4,859,859,7105,3960,10997,36
36,13,929,929,8034,1315,12312,36
36,14,590,590,8624,240,12552,36
36,15,502,502,9126,845,13397,36
36,16,636,636,9762,3960,17357,36
37,1,2080,2080,2080,2713,2713,37
37,2,697,697,2777,90,2803,37
37,3,625,625,3402,1100,3903,37
37,4,3734,3734,7136,3780,7683,37
37,13,163,163,7299,1048,8731,37
37,14,1005,1005,8304,180,8911,37
37,15,981,981,9285,1050,9961,37
37,14,668,668,9953,600,10561,37
37,15,192,192,10145,260,10821,37
37,16,1421,1421,11566,5160,15981,37
38,1,29,29,29,898,898,38
38,2,1049,1049,1078,240,1138,38
38,3,773,773,1851,950,2088,38
38,2,1485,1485,3336,1365,3453,38
38,3,894,894,4230,927,4380,38
38,4,529,529,4759,393,4773,38
38,13,4545,4545,9304,4654,9427,38
38,14,199,199,9503,180,9607,38
38,15,551,551,10054,555,10162,38
38,14,240,240,10294,205,10367,38
38,15,779,779,11073,775,11142,38
38,16,1125,1125,12198,2820,13962,38
39,1,14484,14484,14484,14854,14854,39
39,2,688,688,15172,300,15154,39
39,3,719,719,15891,735,15889,39
39,4,53,53,15944,1560,17449,39
39,13,2875,2875,18819,2920,20369,39
39,14,303,303,19122,300,20669,39
39,15,727,727,19849,855,21524,39
39,14,316,316,20165,185,21709,39
39,15,93,93,20258,300,22009,39
39,16,1591,1591,21849,2100,24109,39
40,1,1147,1147,1147,1476,1476,40
40,2,525,525,1672,240,1716,40
40,3,596,596,2268,740,2456,40
40,4,1425,1425,3693,5590,8046,40
40,13,104,104,3797,390,8436,40
40,14,444,444,4241,180,8616,40
40,15,162,162,4403,225,8841,40
40,14,441,441,4844,675,9516,40
40,15,345,345,5189,390,9906,40
40,16,6015,6015,11204,3960,13866,40
41,1,73,73,73,112,112,41
41,2,99,99,172,120,232,41
41,3,1610,1610,1782,980,1212,41
41,4,714,714,2496,5440,6652,41
41,13,103,103,2599,132,6784,41
41,14,107,107,2706,135,6919,41
41,15,193,193,2899,295,7214,41
41,16,68,68,2967,5100,12314,41
42,1,41,41,41,781,781,42
42,2,865,865,906,150,931,42
42,3,172,172,1078,125,1056,42
42,2,1786,1786,2864,1845,2901,42
42,3,592,592,3456,675,3576,42
42,4,3985,3985,7441,4200,7776,42
42,13,14618,14618,22059,14735,22511,42
42,14,396,396,22455,300,22811,42
42,15,536,536,22991,740,23551,42
42,16,115,115,23106,1560,25111,42
43,1,21475,21475,21475,22224,22224,43
43,2,1785,1785,23260,90,22314,43
43,3,871,871,24131,1120,23434,43
43,4,354,354,24485,3780,27214,43
43,13,1028,1028,25513,2974,30188,43
43,14,1968,1968,27481,90,30278,43
43,15,1157,1157,28638,1430,31708,43
43,16,159,159,28797,3780,35488,43
44,1,1181,1181,1181,1863,1863,44
44,2,712,712,1893,90,1953,44
44,3,946,946,2839,1255,3208,44
44,4,797,797,3636,3780,6988,44
44,13,1525,1525,5161,1540,8528,44
44,14,116,116,5277,150,8678,44
44,15,155,155,5432,90,8768,44
44,14,856,856,6288,915,9683,44
44,15,127,127,6415,282,9965,44
44,16,1055,1055,7470,1178,11143,44
45,1,248,248,248,990,990,45
45,2,925,925,1173,240,1230,45
45,3,204,204,1377,415,1645,45
45,4,14,14,1391,5280,6925,45
45,13,111,111,1502,180,7105,45
45,14,260,260,1762,240,7345,45
45,15,527,527,2289,500,7845,45
45,16,7497,7497,9786,6000,13845,45
46,1,3,3,3,315,315,46
46,2,432,432,435,165,480,46
46,3,1031,1031,1466,1275,1755,46
46,4,985,985,2451,3960,5715,46
46,13,685,685,3136,1374,7089,46
46,14,728,728,3864,90,7179,46
46,15,458,458,4322,855,8034,46
46,16,1475,1475,5797,3780,11814,46
47,1,90,90,90,180,180,47
47,2,194,194,284,150,330,47
47,3,105,105,389,140,470,47
47,4,588,588,977,4200,4670,47
47,13,175,175,1152,364,5034,47
47,14,300,300,1452,150,5184,47
47,15,612,612,2064,635,5819,47
47,16,297,297,2361,4230,10049,47
48,1,3296,3296,3296,3637,3637,48
48,2,370,370,3666,90,3727,48
48,3,654,654,4320,795,4522,48
48,2,649,649,4969,460,4982,48
48,3,1625,1625,6594,1885,6867,48
48,4,904,904,7498,3780,10647,48
48,13,11,11,7509,670,11317,48
48,14,911,911,8420,300,11617,48
48,15,951,951,9371,930,12547,48
48,16,3792,3792,13163,2760,15307,48
49,1,2849,2849,2849,3325,3325,49
49,2,716,716,3565,300,3625,49
49,3,827,827,4392,1100,4725,49
49,2,2014,2014,6406,1785,6510,49
49,3,2927,2927,9333,2826,9336,49
49,4,2,2,9335,384,9720,49
49,13,21,21,9356,43,9763,49
49,14,157,157,9513,150,9913,49
49,15,143,143,9656,455,10368,49
49,16,3720,3720,13376,3565,13933,49
50,1,280,280,280,555,555,50
50,2,302,302,582,90,645,50
50,3,1482,1482,2064,1780,2425,50
50,4,71,71,2135,3780,6205,50
50,13,459,459,2594,1156,7361,50
50,14,727,727,3321,90,7451,50
50,15,514,514,3835,905,8356,50
50,16,2293,2293,6128,3780,12136,50
51,1,2917,2917,2917,3144,3144,51
51,2,567,567,3484,300,3444,51
51,3,528,528,4012,811,4255,51
51,4,1369,1369,5381,3885,8140,51
51,13,13324,13324,18705,14221,22361,51
51,14,927,927,19632,90,22451,51
51,15,960,960,20592,1240,23691,51
51,14,829,829,21421,550,24241,51
51,15,607,607,22028,890,25131,51
51,16,179,179,22207,3780,28911,51
52,1,537,537,537,1281,1281,52
52,2,927,927,1464,240,1521,52
52,3,971,971,2435,1015,2536,52
52,2,534,534,2969,485,3021,52
52,3,401,401,3370,510,3531,52
52,4,111,111,3481,3960,7491,52
52,13,62,62,3543,379,7870,52
52,14,497,497,4040,240,8110,52
52,15,147,147,4187,385,8495,52
52,16,5098,5098,9285,9700,18195,52
53,1,267,267,267,1085,1085,53
53,2,938,938,1205,180,1265,53
53,3,1009,1009,2214,1050,2315,53
53,4,2203,2203,4417,5040,7355,53
53,13,65,65,4482,146,7501,53
53,14,165,165,4647,135,7636,53
53,15,151,151,4798,215,7851,53
53,16,20,20,4818,4890,12741,53
54,1,99,99,99,1162,1162,54
54,2,1213,1213,1312,210,1372,54
54,3,157,157,1469,265,1637,54
54,2,1485,1485,2954,1355,2992,54
54,3,778,778,3732,930,3922,54
54,4,3164,3164,6896,6990,10912,54
54,13,663,663,7559,1548,12460,54
54,14,986,986,8545,150,12610,54
54,15,625,625,9170,645,13255,54
54,14,326,326,9496,310,13565,54
54,15,115,115,9611,125,13690,54
54,16,3885,3885,13496,4230,17920,54
55,1,126,126,126,264,264,55
55,2,291,291,417,155,419,55
55,3,263,263,680,100,519,55
55,2,461,461,1141,680,1199,55
55,3,459,459,1600,255,1454,55
55,4,1000,1000,2600,2880,4334,55
55,13,870,870,3470,930,5264,55
55,14,318,318,3788,300,5564,55
55,15,695,695,4483,805,6369,55
55,14,989,989,5472,845,7214,55
55,15,409,409,5881,590,7804,55
55,16,1598,1598,7479,1140,8944,55
56,1,170,170,170,845,845,56
56,2,801,801,971,180,1025,56
56,3,217,217,1188,345,1370,56
56,2,429,429,1617,290,1660,56
56,3,767,767,2384,695,2355,56
56,4,363,363,2747,1440,3795,56
56,13,113,113,2860,185,3980,56
56,14,174,174,3034,150,4130,56
56,15,145,145,3179,220,4350,56
56,16,763,763,3942,375,4725,56
57,1,2,2,2,291,291,57
57,2,486,486,488,240,531,57
57,3,507,507,995,725,1256,57
57,2,3143,3143,4138,2990,4246,57
57,3,1016,1016,5154,1620,5866,57
57,4,212,212,5366,3960,9826,57
57,13,451,451,5817,1028,10854,57
57,14,672,672,6489,150,11004,57
57,15,160,160,6649,385,11389,57
57,14,386,386,7035,145,11534,57
57,15,108,108,7143,125,11659,57
57,16,28,28,7171,4230,15889,57
58,1,58,58,58,135,135,58
58,2,168,168,226,135,270,58
58,3,204,204,430,285,555,58
58,4,709,709,1139,5160,5715,58
58,13,854,854,1993,1190,6905,58
58,14,519,519,2512,90,6995,58
58,15,897,897,3409,1240,8235,58
58,16,93,93,3502,3780,12015,58
59,1,95,95,95,682,682,59
59,2,776,776,871,240,922,59
59,3,168,168,1039,200,1122,59
59,4,407,407,1446,5220,6342,59
59,13,1096,1096,2542,2863,9205,59
59,14,1793,1793,4335,90,9295,59
59,15,547,547,4882,1035,10330,59
59,16,6564,6564,11446,3780,14110,59
60,1,83,83,83,122,122,60
60,2,275,275,358,300,422,60
60,3,631,631,989,820,1242,60
60,4,15,15,1004,5315,6557,60
60,13,84,84,1088,1145,7702,60
60,14,1241,1241,2329,240,7942,60
60,15,680,680,3009,760,8702,60
60,16,828,828,3837,7680,16382,60
61,1,2737,2737,2737,2984,2984,61
61,2,346,346,3083,150,3134,61
61,3,559,559,3642,585,3719,61
61,2,451,451,4093,400,4119,61
61,3,127,127,4220,1050,5169,61
61,4,1433,1433,5653,3300,8469,61
61,13,86,86,5739,94,8563,61
61,14,57,57,5796,120,8683,61
61,15,224,224,6020,125,8808,61
61,16,2371,2371,8391,2880,11688,61
62,1,372,372,372,1439,1439,62
62,2,1167,1167,1539,150,1589,62
62,3,136,136,1675,115,1704,62
62,2,266,266,1941,280,1984,62
62,3,791,791,2732,775,2759,62
62,4,1572,1572,4304,4230,6989,62
62,13,1567,1567,5871,2444,9433,62
62,14,907,907,6778,90,9523,62
62,15,483,483,7261,845,10368,62
62,16,1361,1361,8622,3780,14148,62
63,1,2047,2047,2047,2183,2183,63
63,2,304,304,2351,180,2363,63
63,3,897,897,3248,1200,3563,63
63,2,1285,1285,4533,1030,4593,63
63,3,256,256,4789,340,4933,63
63,4,995,995,5784,920,5853,63
63,13,1639,1639,7423,1539,7392,63
63,14,426,426,7849,600,7992,63
63,15,1690,1690,9539,1740,9732,63
63,16,1703,1703,11242,420,10152,63
64,1,71,71,71,171,171,64
64,2,202,202,273,150,321,64
64,3,191,191,464,455,776,64
64,4,3724,3724,4188,3565,4341,64
64,13,304,304,4492,1344,5685,64
64,14,1225,1225,5717,240,5925,64
64,15,762,762,6479,780,6705,64
64,16,2775,2775,9254,7680,14385,64
65,1,136,136,136,151,151,65
65,2,107,107,243,150,301,65
65,3,182,182,425,455,756,65
65,4,855,855,1280,3565,4321,65
65,13,148,148,1428,1064,5385,65
65,14,1039,1039,2467,180,5565,65
65,15,163,163,2630,225,5790,65
65,14,859,859,3489,835,6625,65
65,15,238,238,3727,390,7015,65
65,16,1759,1759,5486,3960,10975,65
66,1,4404,4404,4404,4845,4845,66
66,2,678,678,5082,270,5115,66
66,3,816,816,5898,810,5925,66
66,4,5758,5758,11656,550,6475,66
66,13,338,338,11994,950,7425,66
66,14,702,702,12696,150,7575,66
66,15,80,80,12776,50,7625,66
66,14,2295,2295,15071,2330,9955,66
66,15,774,774,15845,945,10900,66
66,16,1116,1116,16961,5160,16060,66
67,1,19,19,19,131,131,67
67,2,204,204,223,150,281,67
67,3,127,127,350,155,436,67
67,4,104,104,454,4200,4636,67
67,13,10,10,464,817,5453,67
67,14,1046,1046,1510,240,5693,67
67,15,468,468,1978,785,6478,67
67,16,220,220,2198,3960,10438,67
68,1,36,36,36,2292,2292,68
68,2,2452,2452,2488,240,2532,68
68,3,723,723,3211,970,3502,68
68,4,306,306,3517,3960,7462,68
68,13,600,600,4117,1481,8943,68
68,14,905,905,5022,90,9033,68
68,15,561,561,5583,880,9913,68
68,14,440,440,6023,110,10023,68
68,15,1514,1514,7537,2315,12338,68
68,16,4422,4422,11959,3420,15758,68
69,1,635,635,635,1095,1095,69
69,2,511,511,1146,90,1185,69
69,3,995,995,2141,1240,2425,69
69,4,166,166,2307,3780,6205,69
69,13,476,476,2783,700,6905,69
69,14,297,297,3080,90,6995,69
69,15,1388,1388,4468,1935,8930,69
69,16,1976,1976,6444,3780,12710,69
70,1,327,327,327,982,982,70
70,2,758,758,1085,150,1132,70
70,3,168,168,1253,155,1287,70
70,4,218,218,1471,4200,5487,70
70,13,25,25,1496,93,5580,70
70,14,184,184,1680,150,5730,70
70,15,157,157,1837,840,6570,70
70,16,591,591,2428,3540,10110,70
71,1,434,434,434,1076,1076,71
71,2,694,694,1128,90,1166,71
71,3,547,547,1675,850,2016,71
71,4,4051,4051,5726,3780,5796,71
71,13,1279,1279,7005,1592,7388,71
71,14,362,362,7367,90,7478,71
71,15,586,586,7953,860,8338,71
71,14,294,294,8247,35,8373,71
71,15,515,515,8762,790,9163,71
71,16,793,793,9555,3780,12943,71
72,1,45,45,45,32,32,72
72,2,195,195,240,240,272,72
72,3,517,517,757,785,1057,72
72,4,232,232,989,3960,5017,72
72,13,445,445,1434,515,5532,72
72,14,481,481,1915,420,5952,72
72,15,704,704,2619,910,6862,72
72,16,185,185,2804,3960,10822,72
73,1,362,362,362,1820,1820,73
73,2,1866,1866,2228,300,2120,73
73,3,542,542,2770,735,2855,73
73,2,335,335,3105,385,3240,73
73,3,453,453,3558,435,3675,73
73,4,331,331,3889,4050,7725,73
73,13,105,105,3994,295,8020,73
73,14,340,340,4334,180,8200,73
73,15,238,238,4572,540,8740,73
73,14,611,611,5183,340,9080,73
73,15,738,738,5921,810,9890,73
73,16,135,135,6056,4110,14000,73
74,1,76,76,76,92,92,74
74,2,211,211,287,240,332,74
74,3,790,790,1077,970,1302,74
74,4,180,180,1257,3960,5262,74
74,13,311,311,1568,1176,6438,74
74,14,1043,1043,2611,150,6588,74
74,15,794,794,3405,790,7378,74
74,16,965,965,4370,4200,11578,74
75,1,1938,1938,1938,1450,1450,75
75,2,1192,1192,3130,300,1750,75
75,3,1058,1058,4188,720,2470,75
75,2,206,206,4394,405,2875,75
75,3,1026,1026,5420,1050,3925,75
75,4,2961,2961,8381,4050,7975,75
75,13,71,71,8452,100,8075,75
75,14,84,84,8536,155,8230,75
75,15,85,85,8621,90,8320,75
75,16,166,166,8787,2880,11200,75
76,1,171,171,171,1359,1359,76
76,2,1383,1383,1554,240,1599,76
76,3,713,713,2267,760,2359,76
76,4,1104,1104,3371,7680,10039,76
76,13,156,156,3527,257,10296,76
76,14,291,291,3818,240,10536,76
76,15,816,816,4634,765,11301,76
76,14,374,374,5008,420,11721,76
76,15,126,126,5134,380,12101,76
76,16,3091,3091,8225,3960,16061,76
77,1,256,256,256,808,808,77
77,2,705,705,961,210,1018,77
77,3,346,346,1307,375,1393,77
77,4,15,15,1322,5300,6693,77
77,13,33,33,1355,46,6739,77
77,14,90,90,1445,135,6874,77
77,15,194,194,1639,285,7159,77
77,16,295,295,1934,5160,12319,77
78,1,1791,1791,1791,3026,3026,78
78,2,1266,1266,3057,90,3116,78
78,3,712,712,3769,1105,4221,78
78,4,338,338,4107,3780,8001,78
78,13,4266,4266,8373,5041,13042,78
78,14,846,846,9219,90,13132,78
78,15,694,694,9913,1155,14287,78
78,16,60,60,9973,3780,18067,78
79,1,1343,1343,1343,1420,1420,79
79,2,329,329,1672,300,1720,79
79,3,1157,1157,2829,1320,3040,79
79,2,1087,1087,3916,1055,4095,79
79,3,441,441,4357,510,4605,79
79,4,78,78,4435,3960,8565,79
79,13,12116,12116,16551,13176,21741,79
79,14,1095,1095,17646,90,21831,79
79,15,1159,1159,18805,1375,23206,79
79,14,568,568,19373,340,23546,79
79,15,143,143,19516,585,24131,79
79,16,2985,2985,22501,3780,27911,79
80,1,5888,5888,5888,6286,6286,80
80,2,508,508,6396,180,6466,80
80,3,1281,1281,7677,1240,7706,80
80,2,1841,1841,9518,1855,9561,80
80,3,598,598,10116,720,10281,80
80,4,318,318,10434,6900,17181,80
80,13,1677,1677,12111,1962,19143,80
